ordo,ordo_date
Ordonnance n° 2000-914 du 18 septembre 2000 relative à la partie Législative du code de l'environnement.Vigueur,Ordonnance n° 2000-914 du 18 septembre 2000 relative à la partie Législative du code de l'environnement.Vigueur
Ordonnance n° 2000-916 du 19 septembre 2000 portant adaptation de la valeur en euros de certains montants exprimés en francs dans les textes législatifsVigueur,Ordonnance n° 2000-916 du 19 septembre 2000 portant adaptation de la valeur en euros de certains montants exprimés en francs dans les textes législatifsVigueur
Ordonnance n° 2000-930 du 22 septembre 2000 relative à la partie Législative du code de la route.Vigueur,Ordonnance n° 2000-930 du 22 septembre 2000 relative à la partie Législative du code de la route.Vigueur
Ordonnance n° 2000-99 du 3 février 2000 relative au statut des agences d'insertion dans les départements d'outre-mer et modifiant la loi n° 88-1088 du 1er décembre 1988 relative au minimum d'insertionVigueur,Ordonnance n° 2000-99 du 3 février 2000 relative au statut des agences d'insertion dans les départements d'outre-mer et modifiant la loi n° 88-1088 du 1er décembre 1988 relative au minimum d'insertionVigueur
"Ordonnance n° 2001-173 du 22 février 2001 relative à la transposition de la directive 92/85/ CEE du Conseil du 19 octobre 1992 concernant la mise en oeuvre de mesures visant à promouvoir l'amélioration de la sécurité et de la santé des travailleuses enceintes, accouchées ou allaitantes au travailVigueur","Ordonnance n° 2001-173 du 22 février 2001 relative à la transposition de la directive 92/85/ CEE du Conseil du 19 octobre 1992 concernant la mise en oeuvre de mesures visant à promouvoir l'amélioration de la sécurité et de la santé des travailleuses enceintes, accouchées ou allaitantes au travailVigueur"
Ordonnance n° 2001-174 du 22 février 2001 relative à la transposition de la directive 94/33/ CE du Conseil du 22 juin 1994 relative à la protection des jeunes au travailVigueur,Ordonnance n° 2001-174 du 22 février 2001 relative à la transposition de la directive 94/33/ CE du Conseil du 22 juin 1994 relative à la protection des jeunes au travailVigueur
Ordonnance n° 2001-175 du 22 février 2001 relative à la transposition de la directive 89/391/ CEE du Conseil du 12 juin 1989 concernant la mise en oeuvre des mesures visant à promouvoir l'amélioration de la sécurité et de la santé des travailleurs au travailVigueur,Ordonnance n° 2001-175 du 22 février 2001 relative à la transposition de la directive 89/391/ CEE du Conseil du 12 juin 1989 concernant la mise en oeuvre des mesures visant à promouvoir l'amélioration de la sécurité et de la santé des travailleurs au travailVigueur
Ordonnance n° 2001-176 du 22 février 2001 relative à la transposition de la directive 97/74/ CE du Conseil du 15 décembre 1997 au comité d'entreprise européen et à la procédure d'information et de consultation dans les entreprises de dimension communautaireVigueur,Ordonnance n° 2001-176 du 22 février 2001 relative à la transposition de la directive 97/74/ CE du Conseil du 15 décembre 1997 au comité d'entreprise européen et à la procédure d'information et de consultation dans les entreprises de dimension communautaireVigueur
Ordonnance n° 2001-177 du 22 février 2001 prise pour l'application des articles 43 et 49 du traité instituant la Communauté européenne à la profession d'agent artistiqueVigueur,Ordonnance n° 2001-177 du 22 février 2001 prise pour l'application des articles 43 et 49 du traité instituant la Communauté européenne à la profession d'agent artistiqueVigueur
Ordonnance n° 2001-178 du 22 février 2001 relative à la transposition de la directive 96/97/ CE du Conseil du 20 décembre 1996 modifiant la directive 86/378/ CEE relative à la mise en oeuvre du principe d'égalité de traitement entre hommes et femmes dans les régimes professionnels de sécurité socialeVigueur,Ordonnance n° 2001-178 du 22 février 2001 relative à la transposition de la directive 96/97/ CE du Conseil du 20 décembre 1996 modifiant la directive 86/378/ CEE relative à la mise en oeuvre du principe d'égalité de traitement entre hommes et femmes dans les régimes professionnels de sécurité socialeVigueur
Ordonnance n° 2001-198 du 1 mars 2001 relative à la transposition de la directive 98/79/ CE du Parlement européen et du Conseil du 27 octobre 1998 relative aux dispositifs médicaux de diagnostic in vitroVigueur,Ordonnance n° 2001-198 du 1 mars 2001 relative à la transposition de la directive 98/79/ CE du Parlement européen et du Conseil du 27 octobre 1998 relative aux dispositifs médicaux de diagnostic in vitroVigueur
Ordonnance n° 2001-199 du 1 mars 2001 relative à la transposition des directives 89/48/ CEE du Conseil du 21 décembre 1988 et 92/51/ CEE du Conseil du 18 juin 1992 prévoyant un système général de reconnaissance des diplômes d'enseignement supérieur et des formations professionnellesVigueur,Ordonnance n° 2001-199 du 1 mars 2001 relative à la transposition des directives 89/48/ CEE du Conseil du 21 décembre 1988 et 92/51/ CEE du Conseil du 18 juin 1992 prévoyant un système général de reconnaissance des diplômes d'enseignement supérieur et des formations professionnellesVigueur
Ordonnance n° 2001-270 du 28 mars 2001 relative à la transposition de directives communautaires dans le domaine de la protection contre les rayonnements ionisantsVigueur,Ordonnance n° 2001-270 du 28 mars 2001 relative à la transposition de directives communautaires dans le domaine de la protection contre les rayonnements ionisantsVigueur
Ordonnance n° 2001-273 du 28 mars 2001 transposant certaines dispositions de la directive 1999/62/ CE du Parlement et du Conseil du 17 juin 1999 relative à la taxation des poids lourds pour l'utilisation de certaines infrastructures et réformant le régime d'exploitation de certaines sociétés concessionnaires d'autoroutesVigueur,Ordonnance n° 2001-273 du 28 mars 2001 transposant certaines dispositions de la directive 1999/62/ CE du Parlement et du Conseil du 17 juin 1999 relative à la taxation des poids lourds pour l'utilisation de certaines infrastructures et réformant le régime d'exploitation de certaines sociétés concessionnaires d'autoroutesVigueur
Ordonnance n° 2001-313 du 11 avril 2001 portant transposition de directives relatives aux médicaments vétérinairesVigueur,Ordonnance n° 2001-313 du 11 avril 2001 portant transposition de directives relatives aux médicaments vétérinairesVigueur
Ordonnance n° 2001-321 du 11 avril 2001 relative à la transposition de directives communautaires et à la mise en oeuvre de certaines dispositions du droit communautaire dans le domaine de l'environnement.Vigueur,Ordonnance n° 2001-321 du 11 avril 2001 relative à la transposition de directives communautaires et à la mise en oeuvre de certaines dispositions du droit communautaire dans le domaine de l'environnement.Vigueur
Ordonnance n° 2001-350 du 19 avril 2001 relative au code de la mutualité et transposant les directives 92/49/ CEE et 92/96/ CEE du Conseil des 18 juin et 10 novembre 1992Vigueur,Ordonnance n° 2001-350 du 19 avril 2001 relative au code de la mutualité et transposant les directives 92/49/ CEE et 92/96/ CEE du Conseil des 18 juin et 10 novembre 1992Vigueur
Ordonnance n° 2001-377 du 2 mai 2001 prise pour l'application du règlement (CEE) n° 1408/71 du Conseil du 14 juin 1971 relatif à l'application des régimes de sécurité sociale aux travailleurs salariés et aux membres de leur famille qui se déplacent à l'intérieur de la Communauté et modifiant les règles d'assujettissement des revenus d'activité et de remplacement à la contribution sociale généralisée et à la contribution pour le remboursement de la dette socialeVigueur,Ordonnance n° 2001-377 du 2 mai 2001 prise pour l'application du règlement (CEE) n° 1408/71 du Conseil du 14 juin 1971 relatif à l'application des régimes de sécurité sociale aux travailleurs salariés et aux membres de leur famille qui se déplacent à l'intérieur de la Communauté et modifiant les règles d'assujettissement des revenus d'activité et de remplacement à la contribution sociale généralisée et à la contribution pour le remboursement de la dette socialeVigueur
Ordonnance n° 2001-378 du 2 mai 2001 portant transposition de directives relatives aux médicaments vétérinaires en ce qui concerne la délivrance au détail de certains médicaments vétérinaires antiparasitairesVigueur,Ordonnance n° 2001-378 du 2 mai 2001 portant transposition de directives relatives aux médicaments vétérinaires en ce qui concerne la délivrance au détail de certains médicaments vétérinaires antiparasitairesVigueur
Ordonnance n° 2001-670 du 25 juillet 2001 portant adaptation au droit communautaire du code de la propriété intellectuelle et du code des postes et télécommunicationsVigueur,Ordonnance n° 2001-670 du 25 juillet 2001 portant adaptation au droit communautaire du code de la propriété intellectuelle et du code des postes et télécommunicationsVigueur
Ordonnance n° 2001-741 du 23 août 2001 portant transposition de directives communautaires et adaptation au droit communautaire en matière de droit de la consommationVigueur,Ordonnance n° 2001-741 du 23 août 2001 portant transposition de directives communautaires et adaptation au droit communautaire en matière de droit de la consommationVigueur
Ordonnance n° 2001-766 du 29 août 2001 portant transposition de directives communautaires et adaptation au droit communautaire en matière économique et financièreVigueur,Ordonnance n° 2001-766 du 29 août 2001 portant transposition de directives communautaires et adaptation au droit communautaire en matière économique et financièreVigueur
Ordonnance n° 2001-767 du 29 août 2001 portant transposition de la directive 98/78/ CE du Parlement européen et du Conseil du 27 octobre 1998 sur la surveillance complémentaire des entreprises d'assurance faisant partie d'un groupe d'assurance et modifiant le code de la sécurité sociale et le code de la mutualitéVigueur,Ordonnance n° 2001-767 du 29 août 2001 portant transposition de la directive 98/78/ CE du Parlement européen et du Conseil du 27 octobre 1998 sur la surveillance complémentaire des entreprises d'assurance faisant partie d'un groupe d'assurance et modifiant le code de la sécurité sociale et le code de la mutualitéVigueur
"Ordonnance n° 2002-1450 du 12 décembre 2002 relative à la modernisation du régime communal, à la coopération intercommunale, aux conditions d'exercice des mandats locaux à Mayotte et modifiant le code général des collectivités territoriales (partie Législative)Vigueur","Ordonnance n° 2002-1450 du 12 décembre 2002 relative à la modernisation du régime communal, à la coopération intercommunale, aux conditions d'exercice des mandats locaux à Mayotte et modifiant le code général des collectivités territoriales (partie Législative)Vigueur"
Ordonnance n° 2002-1476 du 19 décembre 2002 portant extension et adaptation de dispositions de droit civil à Mayotte et modifiant son organisation judiciaireVigueur,Ordonnance n° 2002-1476 du 19 décembre 2002 portant extension et adaptation de dispositions de droit civil à Mayotte et modifiant son organisation judiciaireVigueur
Ordonnance n° 2002-149 du 7 février 2002 relative à l'extension et la généralisation des prestations familiales et à la protection sociale dans la collectivité départementale de MayotteVigueur,Ordonnance n° 2002-149 du 7 février 2002 relative à l'extension et la généralisation des prestations familiales et à la protection sociale dans la collectivité départementale de MayotteVigueur
Ordonnance n° 2002-198 du 14 février 2002 relative à la gestion et à la formation des instituteurs de la collectivité départementale de MayotteVigueur,Ordonnance n° 2002-198 du 14 février 2002 relative à la gestion et à la formation des instituteurs de la collectivité départementale de MayotteVigueur
Ordonnance n° 2002-242 du 21 février 2002 relative au droit du travail et de l'emploi à MayotteVigueur,Ordonnance n° 2002-242 du 21 février 2002 relative au droit du travail et de l'emploi à MayotteVigueur
"Ordonnance n° 2002-356 du 14 mars 2002 modifiant les articles L. 213-3 et L. 282-8 du code de l'aviation civile et portant extension et adaptation de ces articles à la Polynésie française, aux îles Wallis et Futuna, à la Nouvelle-Calédonie et à Mayotte.Vigueur","Ordonnance n° 2002-356 du 14 mars 2002 modifiant les articles L. 213-3 et L. 282-8 du code de l'aviation civile et portant extension et adaptation de ces articles à la Polynésie française, aux îles Wallis et Futuna, à la Nouvelle-Calédonie et à Mayotte.Vigueur"
Ordonnance n° 2002-357 du 14 mars 2002 relative à l'armement des navires dans le territoire des Terres australes et antarctiques françaises et modifiant la loi n° 96-151 du 26 février 1996 relative aux transports.Vigueur,Ordonnance n° 2002-357 du 14 mars 2002 relative à l'armement des navires dans le territoire des Terres australes et antarctiques françaises et modifiant la loi n° 96-151 du 26 février 1996 relative aux transports.Vigueur
Ordonnance n° 2002-388 du 20 mars 2002 relative aux conditions d'entrée et de séjour des étrangers en Nouvelle-CalédonieVigueur,Ordonnance n° 2002-388 du 20 mars 2002 relative aux conditions d'entrée et de séjour des étrangers en Nouvelle-CalédonieVigueur
"Ordonnance n° 2002-389 du 20 mars 2002 portant extension à la Polynésie française, aux îles Wallis et Futuna, à la Nouvelle-Calédonie et à Mayotte de la loi n° 86-912 du 6 août 1986 relative aux modalités des privatisationsVigueur","Ordonnance n° 2002-389 du 20 mars 2002 portant extension à la Polynésie française, aux îles Wallis et Futuna, à la Nouvelle-Calédonie et à Mayotte de la loi n° 86-912 du 6 août 1986 relative aux modalités des privatisationsVigueur"
Ordonnance n° 2002-411 du 27 mars 2002 relative à la protection sanitaire et sociale à MayotteVigueur,Ordonnance n° 2002-411 du 27 mars 2002 relative à la protection sanitaire et sociale à MayotteVigueur
Ordonnance n° 2003-1059 du 6 novembre 2003 relative aux mesures de simplification pour les emplois du spectacle et modifiant le code du travailVigueur,Ordonnance n° 2003-1059 du 6 novembre 2003 relative aux mesures de simplification pour les emplois du spectacle et modifiant le code du travailVigueur
"Ordonnance n° 2003-1067 du 12 novembre 2003 relative à l'élection des membres des chambres de commerce et d'industrie territoriales, à la prorogation des mandats des délégués consulaires et modifiant le code de commerce.Vigueur","Ordonnance n° 2003-1067 du 12 novembre 2003 relative à l'élection des membres des chambres de commerce et d'industrie territoriales, à la prorogation des mandats des délégués consulaires et modifiant le code de commerce.Vigueur"
Ordonnance n° 2003-1165 du 8 décembre 2003 portant simplifications administratives en matière électorale.Vigueur,Ordonnance n° 2003-1165 du 8 décembre 2003 portant simplifications administratives en matière électorale.Vigueur
Ordonnance n° 2003-1187 du 11 décembre 2003 modifiant la partie législative du code ruralVigueur,Ordonnance n° 2003-1187 du 11 décembre 2003 modifiant la partie législative du code ruralVigueur
Ordonnance n° 2003-1188 du 11 décembre 2003 relative à certaines modalités d'adjudication du droit de chasseVigueur,Ordonnance n° 2003-1188 du 11 décembre 2003 relative à certaines modalités d'adjudication du droit de chasseVigueur
Ordonnance n° 2003-1212 du 18 décembre 2003 modifiant la partie Législative du code général des collectivités territoriales.Vigueur,Ordonnance n° 2003-1212 du 18 décembre 2003 modifiant la partie Législative du code général des collectivités territoriales.Vigueur
"Ordonnance n° 2003-1213 du 18 décembre 2003 relative aux mesures de simplification des formalités concernant les entreprises, les travailleurs indépendants, les associations et les particuliers employeursVigueur","Ordonnance n° 2003-1213 du 18 décembre 2003 relative aux mesures de simplification des formalités concernant les entreprises, les travailleurs indépendants, les associations et les particuliers employeursVigueur"
Ordonnance n° 2003-1216 du 18 décembre 2003 portant suppression de l'affirmation des procès-verbaux.Vigueur,Ordonnance n° 2003-1216 du 18 décembre 2003 portant suppression de l'affirmation des procès-verbaux.Vigueur
Ordonnance n° 2003-1235 du 22 décembre 2003 relative à des mesures de simplification en matière fiscale et supprimant le droit de timbre devant les juridictions administratives.Vigueur,Ordonnance n° 2003-1235 du 22 décembre 2003 relative à des mesures de simplification en matière fiscale et supprimant le droit de timbre devant les juridictions administratives.Vigueur
Ordonnance n° 2003-166 du 27 février 2003 prise pour l'application outre-mer de la loi n° 2002-303 du 4 mars 2002 relative aux droits des malades et à la qualité du système de santéVigueur,Ordonnance n° 2003-166 du 27 février 2003 prise pour l'application outre-mer de la loi n° 2002-303 du 4 mars 2002 relative aux droits des malades et à la qualité du système de santéVigueur
Ordonnance n° 2003-483 du 5 juin 2003 relative aux dispositions rendues nécessaires par la suspension du livre II du code du service national.Vigueur,Ordonnance n° 2003-483 du 5 juin 2003 relative aux dispositions rendues nécessaires par la suspension du livre II du code du service national.Vigueur
Ordonnance n° 2003-719 du 1 août 2003 relative à la simplification de la validation du permis de chasser.Vigueur,Ordonnance n° 2003-719 du 1 août 2003 relative à la simplification de la validation du permis de chasser.Vigueur
Ordonnance n° 2003-720 du 1 août 2003 relative au libre choix de l'allocataire des prestations familiales dans les départements d'outre-merVigueur,Ordonnance n° 2003-720 du 1 août 2003 relative au libre choix de l'allocataire des prestations familiales dans les départements d'outre-merVigueur
Ordonnance n° 2003-850 du 4 septembre 2003 portant simplification de l'organisation et du fonctionnement du système de santé ainsi que des procédures de création d'établissements ou de services sociaux ou médico-sociaux soumis à autorisationVigueur,Ordonnance n° 2003-850 du 4 septembre 2003 portant simplification de l'organisation et du fonctionnement du système de santé ainsi que des procédures de création d'établissements ou de services sociaux ou médico-sociaux soumis à autorisationVigueur
Ordonnance n° 2003-901 du 19 septembre 2003 portant intégration dans la fonction publique de l'Etat des agents de l'administration territoriale de la Polynésie française affectés dans les services pénitentiaires.Vigueur,Ordonnance n° 2003-901 du 19 septembre 2003 portant intégration dans la fonction publique de l'Etat des agents de l'administration territoriale de la Polynésie française affectés dans les services pénitentiaires.Vigueur
"Ordonnance n° 2003-902 du 19 septembre 2003 portant suppression de procédures administratives de concertation applicables à certains projets de travaux, d'aménagements et d'ouvrages de l'Etat et de ses établissements publics ainsi que des collectivités territoriales, de leurs groupements et des établissements publics en relevant.Vigueur","Ordonnance n° 2003-902 du 19 septembre 2003 portant suppression de procédures administratives de concertation applicables à certains projets de travaux, d'aménagements et d'ouvrages de l'Etat et de ses établissements publics ainsi que des collectivités territoriales, de leurs groupements et des établissements publics en relevant.Vigueur"
"Ordonnance n° 2003-918 du 26 septembre 2003 portant extension et adaptation en Nouvelle-Calédonie, en Polynésie française, dans les îles Wallis et Futuna, dans les Terres australes et antarctiques françaises et à Mayotte de la loi n° 95-125 du 8 février 1995 relative à l'organisation des juridictions et à la procédure civile, pénale et administrative et de la loi n° 2002-1138 du 9 septembre 2002 d'orientation et de programmation pour la justiceVigueur","Ordonnance n° 2003-918 du 26 septembre 2003 portant extension et adaptation en Nouvelle-Calédonie, en Polynésie française, dans les îles Wallis et Futuna, dans les Terres australes et antarctiques françaises et à Mayotte de la loi n° 95-125 du 8 février 1995 relative à l'organisation des juridictions et à la procédure civile, pénale et administrative et de la loi n° 2002-1138 du 9 septembre 2002 d'orientation et de programmation pour la justiceVigueur"
Ordonnance n° 2003-923 du 26 septembre 2003 relative à l'organisation de la juridiction administrative dans les îles Wallis et Futuna.Vigueur,Ordonnance n° 2003-923 du 26 septembre 2003 relative à l'organisation de la juridiction administrative dans les îles Wallis et Futuna.Vigueur
Ordonnance n° 2004-1127 du 21 octobre 2004 portant transposition de la directive 2001/24/ CE du Parlement européen et du Conseil du 4 avril 2001 concernant l'assainissement et la liquidation des établissements de crédit.Vigueur,Ordonnance n° 2004-1127 du 21 octobre 2004 portant transposition de la directive 2001/24/ CE du Parlement européen et du Conseil du 4 avril 2001 concernant l'assainissement et la liquidation des établissements de crédit.Vigueur
"Ordonnance n° 2004-1129 du 21 octobre 2004 relative à l'application en Nouvelle-Calédonie, en Polynésie française, dans les îles Wallis-et-Futuna, dans les Terres australes et antarctiques françaises et à Mayotte de l'ordonnance n° 2003-1216 du 18 décembre 2003 portant suppression de l'affirmation des procès-verbaux.Vigueur","Ordonnance n° 2004-1129 du 21 octobre 2004 relative à l'application en Nouvelle-Calédonie, en Polynésie française, dans les îles Wallis-et-Futuna, dans les Terres australes et antarctiques françaises et à Mayotte de l'ordonnance n° 2003-1216 du 18 décembre 2003 portant suppression de l'affirmation des procès-verbaux.Vigueur"
Ordonnance n° 2004-1148 du 28 octobre 2004 transposant la directive 2003/15/ CE du Parlement européen et du Conseil du 27 février 2003 modifiant la directive 76/768/ CEE du Conseil concernant le rapprochement des législations des Etats membres relatives aux produits cosmétiques.Vigueur,Ordonnance n° 2004-1148 du 28 octobre 2004 transposant la directive 2003/15/ CE du Parlement européen et du Conseil du 27 février 2003 modifiant la directive 76/768/ CEE du Conseil concernant le rapprochement des législations des Etats membres relatives aux produits cosmétiques.Vigueur
"Ordonnance n° 2004-1151 du 28 octobre 2004 relative à l'actualisation et à l'adaptation des codes des douanes applicables en Nouvelle-Calédonie, en Polynésie française, dans les îles Wallis-et-Futuna, à Saint-Pierre-et-Miquelon et à MayotteVigueur","Ordonnance n° 2004-1151 du 28 octobre 2004 relative à l'actualisation et à l'adaptation des codes des douanes applicables en Nouvelle-Calédonie, en Polynésie française, dans les îles Wallis-et-Futuna, à Saint-Pierre-et-Miquelon et à MayotteVigueur"
Ordonnance n° 2004-1173 du 4 novembre 2004 portant adaptation de certaines dispositions du code de commerce au droit communautaire de la concurrence.Vigueur,Ordonnance n° 2004-1173 du 4 novembre 2004 portant adaptation de certaines dispositions du code de commerce au droit communautaire de la concurrence.Vigueur
Ordonnance n° 2004-1174 du 4 novembre 2004 portant transposition pour certaines professions de la directive 2001/19/ CE du Parlement européen et du Conseil du 14 mai 2001 concernant la reconnaissance de diplômes et de qualifications professionnellesVigueur,Ordonnance n° 2004-1174 du 4 novembre 2004 portant transposition pour certaines professions de la directive 2001/19/ CE du Parlement européen et du Conseil du 14 mai 2001 concernant la reconnaissance de diplômes et de qualifications professionnellesVigueur
Ordonnance n° 2004-1197 du 12 novembre 2004 portant transposition de directives communautaires et modifiant le code du travail en matière d'aménagement du temps de travail dans le secteur des transports.Vigueur,Ordonnance n° 2004-1197 du 12 novembre 2004 portant transposition de directives communautaires et modifiant le code du travail en matière d'aménagement du temps de travail dans le secteur des transports.Vigueur
