law,frlaw_date
Loi no 2000-1353 du 30 décembre 2000 de finances rectificative pour 2000 (1)Vigueur,Loi no 2000-1353 du 30 décembre 2000 de finances rectificative pour 2000 (1)Vigueur
Loi no 2000-1354 du 30 décembre 2000 tendant à faciliter l'indemnisation des condamnés reconnus innocents et portant diverses dispositions de coordination en matière de procédure pénaleVigueur,Loi no 2000-1354 du 30 décembre 2000 tendant à faciliter l'indemnisation des condamnés reconnus innocents et portant diverses dispositions de coordination en matière de procédure pénaleVigueur
"Loi no 2000-175 du 2 mars 2000 portant abrogation de l'article 78 de la loi no 93-1313 du 20 décembre 1993 quinquennale relative au travail, à l'emploi et à la formation professionnelle (1)Vigueur","Loi no 2000-175 du 2 mars 2000 portant abrogation de l'article 78 de la loi no 93-1313 du 20 décembre 1993 quinquennale relative au travail, à l'emploi et à la formation professionnelle (1)Vigueur"
Loi no 2000-197 du 6 mars 2000 visant à renforcer le rôle de l'école dans la prévention et la détection des faits de mauvais traitements à enfants (1)Vigueur,Loi no 2000-197 du 6 mars 2000 visant à renforcer le rôle de l'école dans la prévention et la détection des faits de mauvais traitements à enfants (1)Vigueur
Loi no 2000-230 du 13 mars 2000 portant adaptation du droit de la preuve aux technologies de l'information et relative à la signature électroniqueVigueur,Loi no 2000-230 du 13 mars 2000 portant adaptation du droit de la preuve aux technologies de l'information et relative à la signature électroniqueVigueur
Loi no 2000-242 du 14 mars 2000 relative aux volontariats civils institués par l'article L. 111-2 du code du service national et à diverses mesures relatives à la réforme du service nationalVigueur,Loi no 2000-242 du 14 mars 2000 relative aux volontariats civils institués par l'article L. 111-2 du code du service national et à diverses mesures relatives à la réforme du service nationalVigueur
Loi no 2000-295 du 5 avril 2000 relative à la limitation du cumul des mandats électoraux et des fonctions et à leurs conditions d'exercice (1)Vigueur,Loi no 2000-295 du 5 avril 2000 relative à la limitation du cumul des mandats électoraux et des fonctions et à leurs conditions d'exercice (1)Vigueur
Loi no 2000-321 du 12 avril 2000 relative aux droits des citoyens dans leurs relations avec les administrationsVigueur,Loi no 2000-321 du 12 avril 2000 relative aux droits des citoyens dans leurs relations avec les administrationsVigueur
Loi no 2000-322 du 12 avril 2000 relative à la validation législative d'un examen professionnel d'accès au grade de premier surveillant des services extérieurs de l'administration pénitentiaire (1).Vigueur,Loi no 2000-322 du 12 avril 2000 relative à la validation législative d'un examen professionnel d'accès au grade de premier surveillant des services extérieurs de l'administration pénitentiaire (1).Vigueur
Loi no 2000-37 du 19 janvier 2000 relative à la réduction négociée du temps de travail (1)Vigueur,Loi no 2000-37 du 19 janvier 2000 relative à la réduction négociée du temps de travail (1)Vigueur
Loi no 2000-391 du 9 mai 2000 organisant une consultation de la population de Mayotte (1)Vigueur,Loi no 2000-391 du 9 mai 2000 organisant une consultation de la population de Mayotte (1)Vigueur
Loi no 2000-493 du 6 juin 2000 tendant à favoriser l'égal accès des femmes et des hommes aux mandats électoraux et fonctions électivesVigueur,Loi no 2000-493 du 6 juin 2000 tendant à favoriser l'égal accès des femmes et des hommes aux mandats électoraux et fonctions électivesVigueur
Loi no 2000-516 du 15 juin 2000 renforçant la protection de la présomption d'innocence et les droits des victimesVigueur,Loi no 2000-516 du 15 juin 2000 renforçant la protection de la présomption d'innocence et les droits des victimesVigueur
Loi no 2000-517 du 15 juin 2000 portant habilitation du Gouvernement à adapter par ordonnance la valeur en euros de certains montants exprimés en francs dans les textes législatifsVigueur,Loi no 2000-517 du 15 juin 2000 portant habilitation du Gouvernement à adapter par ordonnance la valeur en euros de certains montants exprimés en francs dans les textes législatifsVigueur
Loi no 2000-595 du 30 juin 2000 modifiant le code pénal et le code de procédure pénale relative à la lutte contre la corruptionVigueur,Loi no 2000-595 du 30 juin 2000 modifiant le code pénal et le code de procédure pénale relative à la lutte contre la corruptionVigueur
Loi no 2000-596 du 30 juin 2000 relative à la prestation compensatoire en matière de divorceVigueur,Loi no 2000-596 du 30 juin 2000 relative à la prestation compensatoire en matière de divorceVigueur
Loi no 2000-597 du 30 juin 2000 relative au référé devant les juridictions administrativesVigueur,Loi no 2000-597 du 30 juin 2000 relative au référé devant les juridictions administrativesVigueur
Loi no 2000-614 du 5 juillet 2000 relative à l'accueil et à l'habitat des gens du voyageVigueur,Loi no 2000-614 du 5 juillet 2000 relative à l'accueil et à l'habitat des gens du voyageVigueur
Loi no 2000-627 du 6 juillet 2000 modifiant la loi no 84-610 du 16 juillet 1984 relative à l'organisation et à la promotion des activités physiques et sportivesVigueur,Loi no 2000-627 du 6 juillet 2000 modifiant la loi no 84-610 du 16 juillet 1984 relative à l'organisation et à la promotion des activités physiques et sportivesVigueur
Loi no 2000-628 du 7 juillet 2000 relative à la prolongation du mandat et à la date de renouvellement des conseils d'administration des services d'incendie et de secours ainsi qu'au reclassement et à la cessation anticipée d'activité des sapeurs-pompiers professionnels (1)Vigueur,Loi no 2000-628 du 7 juillet 2000 relative à la prolongation du mandat et à la date de renouvellement des conseils d'administration des services d'incendie et de secours ainsi qu'au reclassement et à la cessation anticipée d'activité des sapeurs-pompiers professionnels (1)Vigueur
Loi no 2000-629 du 7 juillet 2000 interdisant les candidatures multiples aux élections cantonales (1)Vigueur,Loi no 2000-629 du 7 juillet 2000 interdisant les candidatures multiples aux élections cantonales (1)Vigueur
Loi no 2000-641 du 10 juillet 2000 relative à l'élection des sénateurs (1)Vigueur,Loi no 2000-641 du 10 juillet 2000 relative à l'élection des sénateurs (1)Vigueur
"Loi no 2000-643 du 10 juillet 2000 relative à la protection des trésors nationaux et modifiant la loi no 92-1477 du 31 décembre 1992 relative aux produits soumis à certaines restrictions de circulation et à la complémentarité entre les services de police, de gendarmerie et de douaneVigueur","Loi no 2000-643 du 10 juillet 2000 relative à la protection des trésors nationaux et modifiant la loi no 92-1477 du 31 décembre 1992 relative aux produits soumis à certaines restrictions de circulation et à la complémentarité entre les services de police, de gendarmerie et de douaneVigueur"
"Loi no 2000-644 du 10 juillet 2000 instaurant une journée nationale à la mémoire des victimes des crimes racistes et antisémites de l'Etat français et d'hommage aux "" Justes "" de FranceVigueur","Loi no 2000-644 du 10 juillet 2000 instaurant une journée nationale à la mémoire des victimes des crimes racistes et antisémites de l'Etat français et d'hommage aux "" Justes "" de FranceVigueur"
Loi no 2000-646 du 10 juillet 2000 relative à la sécurité du dépôt et de la collecte de fonds par les entreprises privéesAbrogé,Loi no 2000-646 du 10 juillet 2000 relative à la sécurité du dépôt et de la collecte de fonds par les entreprises privéesAbrogé
Loi no 2000-647 du 10 juillet 2000 tendant à préciser la définition des délits non intentionnelsVigueur,Loi no 2000-647 du 10 juillet 2000 tendant à préciser la définition des délits non intentionnelsVigueur
Loi no 2000-656 du 13 juillet 2000 de finances rectificative pour 2000 (1)Vigueur,Loi no 2000-656 du 13 juillet 2000 de finances rectificative pour 2000 (1)Vigueur
Loi no 2000-698 du 26 juillet 2000 relative à la chasseVigueur,Loi no 2000-698 du 26 juillet 2000 relative à la chasseVigueur
Loi no 2000-719 du 1 août 2000 modifiant la loi no 86-1067 du 30 septembre 1986 relative à la liberté de communicationVigueur,Loi no 2000-719 du 1 août 2000 modifiant la loi no 86-1067 du 30 septembre 1986 relative à la liberté de communicationVigueur
"Loi no 2001-1 du 3 janvier 2001 portant habilitation du Gouvernement à transposer, par ordonnances, des directives communautaires et à mettre en oeuvre certaines dispositions du droit communautaireVigueur","Loi no 2001-1 du 3 janvier 2001 portant habilitation du Gouvernement à transposer, par ordonnances, des directives communautaires et à mettre en oeuvre certaines dispositions du droit communautaireVigueur"
Loi no 2001-1011 du 5 novembre 2001 portant ratification de l'ordonnance no 2001-273 du 28 mars 2001 transposant certaines dispositions de la directive 1999/62/ CE du Parlement et du Conseil du 17 juin 1999 relative à la taxation des poids lourds pour l'utilisation de certaines infrastructures et réformant le régime d'exploitation de certaines sociétés concessionnaires d'autoroutes (1).Vigueur,Loi no 2001-1011 du 5 novembre 2001 portant ratification de l'ordonnance no 2001-273 du 28 mars 2001 transposant certaines dispositions de la directive 1999/62/ CE du Parlement et du Conseil du 17 juin 1999 relative à la taxation des poids lourds pour l'utilisation de certaines infrastructures et réformant le régime d'exploitation de certaines sociétés concessionnaires d'autoroutes (1).Vigueur
Loi no 2001-1062 du 15 novembre 2001 relative à la sécurité quotidienneVigueur,Loi no 2001-1062 du 15 novembre 2001 relative à la sécurité quotidienneVigueur
Loi no 2001-1066 du 16 novembre 2001 relative à la lutte contre les discriminations (1)Vigueur,Loi no 2001-1066 du 16 novembre 2001 relative à la lutte contre les discriminations (1)Vigueur
Loi no 2001-111 du 6 février 2001 relative à l'adoption internationaleVigueur,Loi no 2001-111 du 6 février 2001 relative à l'adoption internationaleVigueur
Loi no 2001-1128 du 30 novembre 2001 portant amélioration de la couverture des non-salariés agricoles contre les accidents du travail et les maladies professionnellesVigueur,Loi no 2001-1128 du 30 novembre 2001 portant amélioration de la couverture des non-salariés agricoles contre les accidents du travail et les maladies professionnellesVigueur
Loi no 2001-1135 du 3 décembre 2001 relative aux droits du conjoint survivant et des enfants adultérins et modernisant diverses dispositions de droit successoral (1)Vigueur,Loi no 2001-1135 du 3 décembre 2001 relative aux droits du conjoint survivant et des enfants adultérins et modernisant diverses dispositions de droit successoral (1)Vigueur
Loi no 2001-1168 du 11 décembre 2001 portant mesures urgentes de réformes à caractère économique et financier (MURCEF) (1)Vigueur,Loi no 2001-1168 du 11 décembre 2001 portant mesures urgentes de réformes à caractère économique et financier (MURCEF) (1)Vigueur
Loi no 2001-1246 du 21 décembre 2001 de financement de la sécurité sociale pour 2002 (1)Vigueur,Loi no 2001-1246 du 21 décembre 2001 de financement de la sécurité sociale pour 2002 (1)Vigueur
Loi no 2001-1247 du 21 décembre 2001 visant à accorder une priorité dans l'attribution des logements sociaux aux personnes en situation de handicap ou aux familles ayant à leur charge une personne en situation de handicap.Vigueur,Loi no 2001-1247 du 21 décembre 2001 visant à accorder une priorité dans l'attribution des logements sociaux aux personnes en situation de handicap ou aux familles ayant à leur charge une personne en situation de handicap.Vigueur
Loi no 2001-1248 du 21 décembre 2001 relative aux chambres régionales des comptes et à la Cour des comptes (1)Vigueur,Loi no 2001-1248 du 21 décembre 2001 relative aux chambres régionales des comptes et à la Cour des comptes (1)Vigueur
Loi no 2001-1275 du 28 décembre 2001 de finances pour 2002 (1)Vigueur,Loi no 2001-1275 du 28 décembre 2001 de finances pour 2002 (1)Vigueur
Loi no 2001-1276 du 28 décembre 2001 de Finances rectificative pour 2001 (1)Vigueur,Loi no 2001-1276 du 28 décembre 2001 de Finances rectificative pour 2001 (1)Vigueur
Loi no 2001-152 du 19 février 2001 sur l'épargne salariale (1)Vigueur,Loi no 2001-152 du 19 février 2001 sur l'épargne salariale (1)Vigueur
Loi no 2001-2 du 3 janvier 2001 relative à la résorption de l'emploi précaire et à la modernisation du recrutement dans la fonction publique ainsi qu'au temps de travail dans la fonction publique territoriale (1).Vigueur,Loi no 2001-2 du 3 janvier 2001 relative à la résorption de l'emploi précaire et à la modernisation du recrutement dans la fonction publique ainsi qu'au temps de travail dans la fonction publique territoriale (1).Vigueur
Loi no 2001-337 du 19 avril 2001 autorisant l'approbation de l'instrument d'amendement à la Constitution de l'Organisation internationale du travail (1)Vigueur,Loi no 2001-337 du 19 avril 2001 autorisant l'approbation de l'instrument d'amendement à la Constitution de l'Organisation internationale du travail (1)Vigueur
Loi no 2001-338 du 19 avril 2001 autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République dominicaine sur l'encouragement et la protection réciproques des investissements (1)Vigueur,Loi no 2001-338 du 19 avril 2001 autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République dominicaine sur l'encouragement et la protection réciproques des investissements (1)Vigueur
Loi no 2001-339 du 19 avril 2001 autorisant la ratification du traité d'entraide judiciaire en matière pénale entre la France et les Etats-Unis d'Amérique (ensemble deux annexes)Vigueur,Loi no 2001-339 du 19 avril 2001 autorisant la ratification du traité d'entraide judiciaire en matière pénale entre la France et les Etats-Unis d'Amérique (ensemble deux annexes)Vigueur
Loi no 2001-340 du 19 avril 2001 autorisant la ratification de la convention de sécurité sociale entre la République française et la République du Chili (1)Vigueur,Loi no 2001-340 du 19 avril 2001 autorisant la ratification de la convention de sécurité sociale entre la République française et la République du Chili (1)Vigueur
Loi no 2001-341 du 19 avril 2001 autorisant la ratification de la convention no 182 de l'Organisation internationale du travail concernant l'interdiction des pires formes de travail des enfants et l'action immédiate en vue de leur élimination (1)Vigueur,Loi no 2001-341 du 19 avril 2001 autorisant la ratification de la convention no 182 de l'Organisation internationale du travail concernant l'interdiction des pires formes de travail des enfants et l'action immédiate en vue de leur élimination (1)Vigueur
Loi no 2001-380 du 3 mai 2001 relative à la répression des rejets polluants des navires.Vigueur,Loi no 2001-380 du 3 mai 2001 relative à la répression des rejets polluants des navires.Vigueur
Loi no 2001-397 du 9 mai 2001 relative à l'égalité professionnelle entre les femmes et les hommes (1)Vigueur,Loi no 2001-397 du 9 mai 2001 relative à l'égalité professionnelle entre les femmes et les hommes (1)Vigueur
Loi no 2001-398 du 9 mai 2001 créant une Agence française de sécurité sanitaire environnementale (1).Abrogé,Loi no 2001-398 du 9 mai 2001 créant une Agence française de sécurité sanitaire environnementale (1).Abrogé
Loi no 2001-420 du 15 mai 2001 relative aux nouvelles régulations économiquesVigueur,Loi no 2001-420 du 15 mai 2001 relative aux nouvelles régulations économiquesVigueur
Loi no 2001-43 du 16 janvier 2001 portant diverses dispositions d'adaptation au droit communautaire dans le domaine des transports.Vigueur,Loi no 2001-43 du 16 janvier 2001 portant diverses dispositions d'adaptation au droit communautaire dans le domaine des transports.Vigueur
Loi no 2001-434 du 21 mai 2001 tendant à la reconnaissance de la traite et de l'esclavage en tant que crime contre l'humanitéVigueur,Loi no 2001-434 du 21 mai 2001 tendant à la reconnaissance de la traite et de l'esclavage en tant que crime contre l'humanitéVigueur
Loi no 2001-44 du 17 janvier 2001 relative à l'archéologie préventive.Vigueur,Loi no 2001-44 du 17 janvier 2001 relative à l'archéologie préventive.Vigueur
Loi no 2001-454 du 29 mai 2001 relative à la réalisation d'un itinéraire à très grand gabarit entre le port de Bordeaux et Toulouse (1).Vigueur,Loi no 2001-454 du 29 mai 2001 relative à la réalisation d'un itinéraire à très grand gabarit entre le port de Bordeaux et Toulouse (1).Vigueur
Loi no 2001-458 du 30 mai 2001 portant création d'une prime pour l'emploi (1)Vigueur,Loi no 2001-458 du 30 mai 2001 portant création d'une prime pour l'emploi (1)Vigueur
Loi no 2001-5 du 4 janvier 2001 relative à l'élargissement du conseil d'administration de la société Air France et aux relations de cette société avec l'Etat et portant modification du code de l'aviation civile (1).Vigueur,Loi no 2001-5 du 4 janvier 2001 relative à l'élargissement du conseil d'administration de la société Air France et aux relations de cette société avec l'Etat et portant modification du code de l'aviation civile (1).Vigueur
"Loi no 2001-503 du 12 juin 2001 portant habilitation du Gouvernement à prendre, par ordonnances, les mesures législatives nécessaires à l'actualisation et à l'adaptation du droit applicable outre-mer (1)Vigueur","Loi no 2001-503 du 12 juin 2001 portant habilitation du Gouvernement à prendre, par ordonnances, les mesures législatives nécessaires à l'actualisation et à l'adaptation du droit applicable outre-mer (1)Vigueur"
Loi no 2001-504 du 12 juin 2001 tendant à renforcer la prévention et la répression des mouvements sectaires portant atteinte aux droits de l'homme et aux libertés fondamentalesVigueur,Loi no 2001-504 du 12 juin 2001 tendant à renforcer la prévention et la répression des mouvements sectaires portant atteinte aux droits de l'homme et aux libertés fondamentalesVigueur
Loi no 2001-582 du 4 juillet 2001 relative à la mise en place d'une allocation d'autonomie pour les jeunes de seize à vingt-cinq ans (1)Abrogé,Loi no 2001-582 du 4 juillet 2001 relative à la mise en place d'une allocation d'autonomie pour les jeunes de seize à vingt-cinq ans (1)Abrogé
Loi no 2001-588 du 4 juillet 2001 relative à l'interruption volontaire de grossesse et à la contraception (1)Vigueur,Loi no 2001-588 du 4 juillet 2001 relative à l'interruption volontaire de grossesse et à la contraception (1)Vigueur
Loi no 2001-6 du 4 janvier 2001 portant diverses dispositions d'adaptation au droit communautaire en matière de santé des animaux et de qualité sanitaire des denrées d'origine animale et modifiant le code ruralVigueur,Loi no 2001-6 du 4 janvier 2001 portant diverses dispositions d'adaptation au droit communautaire en matière de santé des animaux et de qualité sanitaire des denrées d'origine animale et modifiant le code ruralVigueur
Loi no 2001-602 du 9 juillet 2001 d'orientation sur la forêtVigueur,Loi no 2001-602 du 9 juillet 2001 d'orientation sur la forêtVigueur
"Loi no 2001-603 du 10 juillet 2001 autorisant la ratification du traité de Nice modifiant le traité sur l'Union européenne, les traités instituant les Communautés européennes et certains actes connexesVigueur","Loi no 2001-603 du 10 juillet 2001 autorisant la ratification du traité de Nice modifiant le traité sur l'Union européenne, les traités instituant les Communautés européennes et certains actes connexesVigueur"
Loi no 2001-616 du 11 juillet 2001 relative à MayotteVigueur,Loi no 2001-616 du 11 juillet 2001 relative à MayotteVigueur
"Loi no 2001-624 du 17 juillet 2001 portant diverses dispositions d'ordre social, éducatif et culturel (1)Vigueur","Loi no 2001-624 du 17 juillet 2001 portant diverses dispositions d'ordre social, éducatif et culturel (1)Vigueur"
Loi no 2001-647 du 20 juillet 2001 relative à la prise en charge de la perte d'autonomie des personnes âgées et à l'allocation personnalisée d'autonomie (1)Vigueur,Loi no 2001-647 du 20 juillet 2001 relative à la prise en charge de la perte d'autonomie des personnes âgées et à l'allocation personnalisée d'autonomie (1)Vigueur
Loi no 2001-70 du 29 janvier 2001 relative à la reconnaissance du génocide arménien de 1915Vigueur,Loi no 2001-70 du 29 janvier 2001 relative à la reconnaissance du génocide arménien de 1915Vigueur
Loi no 2002-1 du 2 janvier 2002 tendant à moderniser le statut des sociétés d'économie mixte localesVigueur,Loi no 2002-1 du 2 janvier 2002 tendant à moderniser le statut des sociétés d'économie mixte localesVigueur
Loi no 2002-1050 du 6 août 2002 de Finances rectificative pour 2002 (1)Vigueur,Loi no 2002-1050 du 6 août 2002 de Finances rectificative pour 2002 (1)Vigueur
Loi no 2002-1062 du 6 août 2002 portant amnistieVigueur,Loi no 2002-1062 du 6 août 2002 portant amnistieVigueur
Loi no 2002-1094 du 29 août 2002 d'orientation et de programmation pour la sécurité intérieureVigueur,Loi no 2002-1094 du 29 août 2002 d'orientation et de programmation pour la sécurité intérieureVigueur
Loi no 2002-1095 du 29 août 2002 portant création d'un dispositif de soutien à l'emploi des jeunes en entreprise (1)Vigueur,Loi no 2002-1095 du 29 août 2002 portant création d'un dispositif de soutien à l'emploi des jeunes en entreprise (1)Vigueur
Loi no 2002-1138 du 9 septembre 2002 d'orientation et de programmation pour la justiceVigueur,Loi no 2002-1138 du 9 septembre 2002 d'orientation et de programmation pour la justiceVigueur
Loi no 2002-1303 du 29 octobre 2002 modifiant certaines dispositions du code de commerce relatives aux mandats sociauxVigueur,Loi no 2002-1303 du 29 octobre 2002 modifiant certaines dispositions du code de commerce relatives aux mandats sociauxVigueur
Loi no 2002-1487 du 20 décembre 2002 de financement de la sécurité sociale pour 2003 (1)Vigueur,Loi no 2002-1487 du 20 décembre 2002 de financement de la sécurité sociale pour 2003 (1)Vigueur
Loi no 2002-1575 du 30 décembre 2002 de Finances pour 2003 (1)Vigueur,Loi no 2002-1575 du 30 décembre 2002 de Finances pour 2003 (1)Vigueur
Loi no 2002-1576 du 30 décembre 2002 de finances rectificative pour 2002 (1)Vigueur,Loi no 2002-1576 du 30 décembre 2002 de finances rectificative pour 2002 (1)Vigueur
Loi no 2002-1577 du 30 décembre 2002 relative à la responsabilité civile médicale (1)Vigueur,Loi no 2002-1577 du 30 décembre 2002 relative à la responsabilité civile médicale (1)Vigueur
Loi no 2002-1578 du 30 décembre 2002 modifiant l'article 43 de la loi no 84-610 du 16 juillet 1984 relative à l'organisation et à la promotion des activités physiques et sportivesVigueur,Loi no 2002-1578 du 30 décembre 2002 modifiant l'article 43 de la loi no 84-610 du 16 juillet 1984 relative à l'organisation et à la promotion des activités physiques et sportivesVigueur
Loi no 2002-2 du 2 janvier 2002 rénovant l'action sociale et médico-sociale (1)Vigueur,Loi no 2002-2 du 2 janvier 2002 rénovant l'action sociale et médico-sociale (1)Vigueur
Loi no 2002-214 du 19 février 2002 modifiant la loi no 77-808 du 19 juillet 1977 relative à la publication et à la diffusion de certains sondages d'opinionVigueur,Loi no 2002-214 du 19 février 2002 modifiant la loi no 77-808 du 19 juillet 1977 relative à la publication et à la diffusion de certains sondages d'opinionVigueur
Loi no 2002-268 du 26 février 2002 relative à la coopération avec la Cour pénale internationaleVigueur,Loi no 2002-268 du 26 février 2002 relative à la coopération avec la Cour pénale internationaleVigueur
Loi no 2002-276 du 27 février 2002 relative à la démocratie de proximité (1)Vigueur,Loi no 2002-276 du 27 février 2002 relative à la démocratie de proximité (1)Vigueur
"Loi no 2002-3 du 3 janvier 2002 relative à la sécurité des infrastructures et systèmes de transport, aux enquêtes techniques et au stockage souterrain de gaz naturel, d'hydrocarbures et de produits chimiques (1).Vigueur","Loi no 2002-3 du 3 janvier 2002 relative à la sécurité des infrastructures et systèmes de transport, aux enquêtes techniques et au stockage souterrain de gaz naturel, d'hydrocarbures et de produits chimiques (1).Vigueur"
Loi no 2002-303 du 4 mars 2002 relative aux droits des malades et à la qualité du système de santé (1)Vigueur,Loi no 2002-303 du 4 mars 2002 relative aux droits des malades et à la qualité du système de santé (1)Vigueur
Loi no 2002-304 du 4 mars 2002 relative au nom de famille (1)Vigueur,Loi no 2002-304 du 4 mars 2002 relative au nom de famille (1)Vigueur
