ORDONANŢĂ DE URGENŢĂ nr.69 din 13 iunie      2002 pentru modificarea art. 45 lit. a) din Legea asigurărilor sociale de sănătate nr. 145/1997,[<b>Ordonanţă de Urgenţă nr.69 din 13 iunie      2002</b>],abrogata prin og,ORDONANŢĂ DE URGENŢĂ nr.150 din 31 octombrie  2002 privind organizarea şi funcţionarea sistemului de asigurări sociale de sănătate,<b>Ordonanţă de Urgenţă nr.150 din 31 octombrie  2002</b>
ORDONANŢĂ DE URGENŢĂ nr.69 din 13 iunie      2002 pentru modificarea art. 45 lit. a) din Legea asigurărilor sociale de sănătate nr. 145/1997,[<b>Ordonanţă de Urgenţă nr.69 din 13 iunie      2002</b>],abrogata prin og,ORDONANŢĂ DE URGENŢĂ nr.150 din 31 octombrie  2002 privind organizarea şi funcţionarea sistemului de asigurări sociale de sănătate,<b>Ordonanţă de Urgenţă nr.150 din 31 octombrie  2002</b>
title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
"ORDONANŢĂ DE URGENŢĂ nr.93 din 14 iulie      2005 privind unele măsuri pentru atragerea de investitori în vederea rezolvării situaţiei specifice de la Societatea Comercială ""Daewoo Automobile România"" - S.A.",[<b>Ordonanţă de Urgenţă nr.93 din 14 iulie      2005</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.93 din 14 iulie      2005 privind unele măsuri pentru atragerea de investitori în vederea rezolvării situaţiei specifice de la Societatea Comercială ""Daewoo Automobile România"" - S.A.",[<b>Ordonanţă de Urgenţă nr.93 din 14 iulie      2005</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.93 din 14 iulie      2005 privind unele măsuri pentru atragerea de investitori în vederea rezolvării situaţiei specifice de la Societatea Comercială ""Daewoo Automobile România"" - S.A.",[<b>Ordonanţă de Urgenţă nr.93 din 14 iulie      2005</b>],placeholder,placeholder,placeholder
title,date_ordo,status,law,date_law
ORDONANŢĂ DE URGENŢĂ nr.43 din 14 iunie      2006 privind organizarea şi funcţionarea Curţii de Conturi,[<b>Ordonanţă de Urgenţă nr.43 din 14 iunie      2006</b>],uitata,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.43 din 14 iunie      2006 privind organizarea şi funcţionarea Curţii de Conturi,[<b>Ordonanţă de Urgenţă nr.43 din 14 iunie      2006</b>],uitata,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.60 din 6 septembrie 2006 pentru modificarea şi completarea Codului de procedură penală, precum şi pentru modificarea altor legi",[<b>Ordonanţă de Urgenţă nr.60 din 6 septembrie 2006</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.60 din 6 septembrie 2006 pentru modificarea şi completarea Codului de procedură penală, precum şi pentru modificarea altor legi",[<b>Ordonanţă de Urgenţă nr.60 din 6 septembrie 2006</b>],placeholder,placeholder,placeholder
title,date_ordo,status,law,date_law
ORDONANŢĂ DE URGENŢĂ nr.42 din 23 mai        2007 pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 25/2007 privind stabilirea unor măsuri pentru reorganizarea aparatului de lucru al Guvernului,[<b>Ordonanţă de Urgenţă nr.42 din 23 mai        2007</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.42 din 23 mai        2007 pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 25/2007 privind stabilirea unor măsuri pentru reorganizarea aparatului de lucru al Guvernului,[<b>Ordonanţă de Urgenţă nr.42 din 23 mai        2007</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.69 din 28 iunie      2007 pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 195/2002 privind circulaţia pe drumurile publice,[<b>Ordonanţă de Urgenţă nr.69 din 28 iunie      2007</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.69 din 28 iunie      2007 pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 195/2002 privind circulaţia pe drumurile publice,[<b>Ordonanţă de Urgenţă nr.69 din 28 iunie      2007</b>],placeholder,placeholder,placeholder
title,date_ordo,status,law,date_law
ORDONANŢĂ DE URGENŢĂ nr.46 din 16 aprilie    2008 pentru modificarea art. 33 din Legea nr. 303/2004 privind statutul judecătorilor şi procurorilor,[<b>Ordonanţă de Urgenţă nr.46 din 16 aprilie    2008</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.46 din 16 aprilie    2008 pentru modificarea art. 33 din Legea nr. 303/2004 privind statutul judecătorilor şi procurorilor,[<b>Ordonanţă de Urgenţă nr.46 din 16 aprilie    2008</b>],placeholder,placeholder,placeholder
title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
"ORDONANŢĂ DE URGENŢĂ nr.53 din 16 iunie      2010 privind eşalonarea plăţii indemnizaţiilor prevăzute de Legea recunoştinţei faţă de eroii-martiri şi luptătorii care au contribuit la victoria Revoluţiei române din decembrie 1989, precum şi faţă de persoanele care şi-au jertfit viaţa sau au avut de suferit în urma revoltei muncitoreşti anticomuniste de la Braşov din noiembrie 1987 nr. 341/2004",[<b>Ordonanţă de Urgenţă nr.53 din 16 iunie      2010</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.62 din 30 iunie      2010 pentru modificarea şi completarea Legii nr. 221/2009 privind condamnările cu caracter politic şi măsurile administrative asimilate acestora, pronunţate în perioada 6 martie 1945-22 decembrie 1989, şi pentru suspendarea aplicării unor dispoziţii din titlul VII al Legii nr. 247/2005 privind reforma în domeniile proprietăţii şi justiţiei, precum şi unele măsuri adiacente",[<b>Ordonanţă de Urgenţă nr.62 din 30 iunie      2010</b>],uitata,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.74 din 30 iunie      2010 pentru modificarea unor acte normative din domeniul educaţiei şi cercetării,[<b>Ordonanţă de Urgenţă nr.74 din 30 iunie      2010</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.96 din 28 octombrie  2010 pentru completarea art. 8 din Ordonanţa de urgenţă a Guvernului nr. 37/2008 privind reglementarea unor măsuri financiare în domeniul bugetar,[<b>Ordonanţă de Urgenţă nr.96 din 28 octombrie  2010</b>],placeholder,placeholder,placeholder
title,date_ordo,status,law,date_law
ORDONANŢĂ DE URGENŢĂ nr.87 din 12 octombrie  2011 pentru efectuarea investigaţiilor tehnice privind siguranţa în cazul accidentelor din sectorul de transport maritim,[<b>Ordonanţă de Urgenţă nr.87 din 12 octombrie  2011</b>],placeholder,placeholder,placeholder
title,date_ordo,status,law,date_law
"ORDONANŢĂ DE URGENŢĂ nr.7 din 27 martie     2012 privind modificarea şi completarea anexei la Ordonanţa de urgenţă a Guvernului nr. 122/2011 pentru aprobarea scoaterii din rezerva de stat, sub formă de împrumut, a unor cantităţi de combustibili pentru unii operatori economici",[<b>Ordonanţă de Urgenţă nr.7 din 27 martie     2012</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.21 din 30 mai        2012 privind modificarea şi completarea Legii educaţiei naţionale nr. 1/2011,[<b>Ordonanţă de Urgenţă nr.21 din 30 mai        2012</b>],placeholder,placeholder,placeholder
ORDONANTA DE URGENTA nr.28 din 13 iunie      2012 pentru modificarea si completarea unor acte normative privind garantarea in domeniul agriculturii si dezvoltarii rurale,[<b>Ordonanţă de Urgenţă nr.28 din 13 iunie      2012</b>],abrogata prin lege,LEGE nr.36 din 8 martie     2013 privind aprobarea Ordonanţei de urgenţă a Guvernului nr. 28/2012 pentru modificarea şi completarea unor acte normative privind garantarea în domeniul agriculturii şi dezvoltării rurale	,<b>Lege nr.36 din 8 martie     2013</b>
"ORDONANŢĂ DE URGENŢĂ nr.90 din 12 decembrie  2012 pentru modificarea şi completarea Legii nr. 192/2006 privind medierea şi organizarea profesiei de mediator, precum şi pentru modificarea art. II din Legea nr. 115/2012 pentru modificarea şi completarea Legii nr. 192/2006 privind medierea şi organizarea profesiei de mediator	",[<b>Ordonanţă de Urgenţă nr.90 din 12 decembrie  2012</b>],uitata,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.92 din 18 decembrie  2012 privind luarea unor măsuri în domeniul învăţământului şi cercetării, precum şi în ceea ce priveşte plata sumelor prevăzute în hotărâri judecătoreşti devenite executorii în perioada 1 ianuarie-31 decembrie 2013	",[<b>Ordonanţă de Urgenţă nr.92 din 18 decembrie  2012</b>],uitata,placeholder,placeholder
title,date_ordo,status,law,date_law
ORDONANŢĂ DE URGENŢĂ nr.19 din 27 martie     2013 pentru modificarea şi completarea Ordonanţei Guvernului nr. 137/2000 privind prevenirea şi sancţionarea tuturor formelor de discriminare	,[<b>Ordonanţă de Urgenţă nr.19 din 27 martie     2013</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.80 din 26 iunie      2013 privind taxele judiciare de timbru 	,[<b>Ordonanţă de Urgenţă nr.80 din 26 iunie      2013</b>],uitata,placeholder,placeholder
title,date_ordo,status,law,date_law
"ORDONANŢĂ DE URGENŢĂ nr.4 din 5 februarie  2014 privind operaţionalizarea Registrului electoral şi pentru modificarea Legii nr. 33/2007 privind organizarea şi desfăşurarea alegerilor pentru Parlamentul European, precum şi unele măsuri pentru buna organizare şi desfăşurare a alegerilor pentru Parlamentul European din anul 2014",[<b>Ordonanţă de Urgenţă nr.4 din 5 februarie  2014</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.18 din 16 aprilie    2014 pentru reglementarea unor măsuri privind activitatea Regiei Autonome ""Administraţia Patrimoniului Protocolului de Stat"", pentru schimbarea regimului juridic al unor imobile şi pentru modificarea unor acte normative",[<b>Ordonanţă de Urgenţă nr.18 din 16 aprilie    2014</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.45 din 26 iunie      2014 privind modificarea şi completarea Legii nr. 370/2004 pentru alegerea Preşedintelui României	,[<b>Ordonanţă de Urgenţă nr.45 din 26 iunie      2014</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.49 din 26 iunie      2014 privind instituirea unor măsuri în domeniul educaţiei, cercetării ştiinţifice şi pentru modificarea unor acte normative	",[<b>Ordonanţă de Urgenţă nr.49 din 26 iunie      2014</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.94 din 29 decembrie  2014 privind modificarea şi completarea Legii educaţiei naţionale nr. 1/2011, precum şi modificarea Ordonanţei de urgenţă a Guvernului nr. 75/2005 privind asigurarea calităţii educaţiei",[<b>Ordonanţă de Urgenţă nr.94 din 29 decembrie  2014</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.95 din 29 decembrie  2014 pentru modificarea şi completarea Legii recunoştinţei faţă de eroii-martiri şi luptătorii care au contribuit la victoria Revoluţiei române din decembrie 1989, precum şi faţă de persoanele care şi-au jertfit viaţa sau au avut de suferit în urma revoltei muncitoreşti anticomuniste de la Braşov din noiembrie 1987 nr. 341/2004",[<b>Ordonanţă de Urgenţă nr.95 din 29 decembrie  2014</b>],uitata,placeholder,placeholder
title,date_ordo,status,law,date_law
ORDONANŢĂ DE URGENŢĂ nr.5 din 2 aprilie    2015 privind deşeurile de echipamente electrice si electronice	,[<b>Ordonanţă de Urgenţă nr.5 din 2 aprilie    2015</b>],uitata,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.29 din 30 iunie      2015 pentru modificarea şi completarea art. 8 din Ordonanţa de urgenţă a Guvernului nr. 86/2014 privind stabilirea unor măsuri de reorganizare la nivelul administraţiei publice centrale şi pentru modificarea şi completarea unor acte normative,[<b>Ordonanţă de Urgenţă nr.29 din 30 iunie      2015</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.57 din 9 decembrie  2015 privind salarizarea personalului plătit din fonduri publice în anul 2016, prorogarea unor termene, precum şi unele măsuri fiscal-bugetare		",[<b>Ordonanţă de Urgenţă nr.57 din 9 decembrie  2015</b>],uitata,placeholder,placeholder
title,date_ordo,status,law,date_law
ORDONANŢĂ DE URGENŢĂ nr.2 din 3 februarie  2016 pentru suspendarea art. 96 alin. (1) lit. f) din Legea nr. 254/2013 privind executarea pedepselor şi a măsurilor privative de libertate dispuse de organele judiciare în cursul procesului penal,[<b>Ordonanţă de Urgenţă nr.2 din 3 februarie  2016</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.6 din 11 martie     2016 privind unele măsuri pentru punerea în executare a mandatelor de supraveghere tehnică dispuse în procesul penal	,[<b>Ordonanţă de Urgenţă nr.6 din 11 martie     2016</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.18 din 18 mai        2016 pentru modificarea şi completarea Legii nr. 286/2009 privind Codul penal, Legii nr. 135/2010 privind Codul de procedură penală, precum şi pentru completarea art. 31 alin. (1) din Legea nr. 304/2004 privind organizarea judiciară	",[<b>Ordonanţă de Urgenţă nr.18 din 18 mai        2016</b>],placeholder,placeholder,placeholder
ORDONANŢĂ nr.24 din 28 iunie      2016 de urgentă pentru modificarea şi completarea Legii nr. 254/2013 privind executarea pedepselor şi a măsurilor privative de libertate dispuse de organele judiciare în cursul procesului penal	,[<b>Ordonanţă de Urgenţă nr.24 din 28 iunie      2016</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.28 din 28 iunie      2016 pentru modificarea şi completarea Legii energiei electrice şi a gazelor naturale nr. 123/2012 	,[<b>Ordonanţă de Urgenţă nr.28 din 28 iunie      2016</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.29 din 28 iunie      2016 pentru modificarea regimului juridic al unui imobil	,[<b>Ordonanţă de Urgenţă nr.29 din 28 iunie      2016</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.38 din 28 iunie      2016 pentru modificarea şi completarea Legii nr. 249/2015 privind modalitatea de gestionare a ambalajelor şi a deşeurilor de ambalaje,[<b>Ordonanţă de Urgenţă nr.38 din 28 iunie      2016</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.40 din 28 iunie      2016 privind stabilirea unor măsuri la nivelul administraţiei publice centrale şi pentru modificarea şi completarea unor acte normative,[<b>Ordonanţă de Urgenţă nr.40 din 28 iunie      2016</b>],uitata,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.43 din 31 august     2016 pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 57/2015 privind salarizarea personalului plătit din fonduri publice în anul 2016; prorogarea unor termene, precum şi unele măsuri fiscal-bugetare, pentru modificarea şi completarea unor acte normative şi pentru aplicarea unitară a dispoziţiilor legale",[<b>Ordonanţă de Urgenţă nr.43 din 31 august     2016</b>],uitata,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.48 din 31 august     2016 privind modificarea şi completarea unor acte normative în domeniul culturii,[<b>Ordonanţă de Urgenţă nr.48 din 31 august     2016</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.52 din 14 septembrie 2016 privind contractele de credit oferite consumatorilor pentru bunuri imobile, precum şi pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 50/2010 privind contractele de credit pentru consumatori",[<b>Ordonanţă de Urgenţă nr.52 din 14 septembrie 2016</b>],uitata,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.55 din 14 septembrie 2016 privind reorganizarea Companiei Naţionale de Autostrăzi şi Drumuri Naţionale din România - S.A. şi înfiinţarea Companiei Naţionale de Investiţii Rutiere - S.A., precum şi modificarea şi completarea unor acte normative",[<b>Ordonanţă de Urgenţă nr.55 din 14 septembrie 2016</b>],uitata,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.56 din 19 septembrie 2016 pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 120/2002 privind aprobarea Sistemului de susţinere si promovare a exportului cu finanţare de la bugetul de stat,[<b>Ordonanţă de Urgenţă nr.56 din 19 septembrie 2016</b>],uitata,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.63 din 5 octombrie  2016 pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 109/2008 privind acordarea de ajutor de stat individual având ca obiectiv dezvoltarea regională,[<b>Ordonanţă de Urgenţă nr.63 din 5 octombrie  2016</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.70 din 26 octombrie  2016 pentru modificarea şi completarea Codului de procedură penală şi a Legii nr. 304/2004 privind organizarea judiciară,[<b>Ordonanţă de Urgenţă nr.70 din 26 octombrie  2016</b>],uitata,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.79 din 16 noiembrie  2016 pentru modificarea şi completarea Legii nr. 95/2006 privind reforma în domeniul sănătătii,[<b>Ordonanţă de Urgenţă nr.79 din 16 noiembrie  2016</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.85 din 23 noiembrie  2016 pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 23/2008 privind pescuitul şi acvacultura,[<b>Ordonanţă de Urgenţă nr.85 din 23 noiembrie  2016</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.86 din 23 noiembrie  2016 cu privire la rectificarea bugetului de stat pe anul 2016,[<b>Ordonanţă de Urgenţă nr.86 din 23 noiembrie  2016</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.87 din 23 noiembrie  2016 pentru rectificarea bugetului asigurărilor sociale de stat pe anul 2016,[<b>Ordonanţă de Urgenţă nr.87 din 23 noiembrie  2016</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.89 din 29 noiembrie  2016 privind instituirea cadrului legal pentru facilitarea transportului gratuit pe calea ferată română în vederea exercitării dreptului de vot la alegerile parlamentare din data de 11 decembrie 2016 de către elevii şi studenţii din România	,[<b>Ordonanţă de Urgenţă nr.89 din 29 noiembrie  2016</b>],placeholder,placeholder,placeholder
"Ordonanţa nr.95 din 8 decembrie  2016 de urgenţă pentru prorogarea unor termene, precum şi pentru instituirea unor măsuri necesare pregătirii punerii în 	aplicare a unor dispoziţii din Legea nr. 134/2010 privind Codul de procedură civilă",[<b>Ordonanţă de Urgenţă nr.95 din 8 decembrie  2016</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.96 din 8 decembrie  2016 pentru modificarea şi completarea unor acte normative în domeniile educaţiei, cercetării, formării 	profesionale şi sănătăţii",[<b>Ordonanţă de Urgenţă nr.96 din 8 decembrie  2016</b>],uitata,placeholder,placeholder
title,date_ordo,status,law,date_law
ORDONANŢĂ DE URGENŢĂ nr.25 din 30 martie     2017 pentru modificarea conţinutului anexei la Ordonanţa Guvernului nr. 7/2013 privind instituirea impozitului asupra veniturilor suplimentare obţinute ca urmare a dereglementării preţurilor din sectorul gazelor naturale,[<b>Ordonanţă de Urgenţă nr.25 din 30 martie     2017</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.39 din 31 mai        2017 privind acţiunile în despăgubire în cazurile de încălcare a dispoziţiilor legislaţiei în materie de concurenţă, precum şi pentru modificarea şi completarea Legii concurenţei nr. 21/1996",[<b>Ordonanţă de Urgenţă nr.39 din 31 mai        2017</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.46 din 30 iunie      2017 pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 8/2009 privind acordarea voucherelor de vacanţă,[<b>Ordonanţă de Urgenţă nr.46 din 30 iunie      2017</b>],abrogata prin lege,LEGE nr.165 din 10 iulie      2018 privind acordarea biletelor de valoare,<b>Lege nr.165 din 10 iulie      2018</b>
ORDONANŢĂ DE URGENŢĂ nr.51 din 30 iunie      2017 pentru modificarea şi completarea unor acte normative,[<b>Ordonanţă de Urgenţă nr.51 din 30 iunie      2017</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.59 din 4 august     2017 privind modificarea şi completarea unor acte normative din domeniul pensiilor de serviciu,[<b>Ordonanţă de Urgenţă nr.59 din 4 august     2017</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.60 din 4 august     2017 pentru modificarea şi completarea Legii nr. 448/2006 privind protecţia şi promovarea drepturilor persoanelor cu handicap	,[<b>Ordonanţă de Urgenţă nr.60 din 4 august     2017</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.63 din 13 septembrie 2017 cu privire la rectificarea bugetului de stat pe anul 2017,[<b>Ordonanţă de Urgenţă nr.63 din 13 septembrie 2017</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.64 din 13 septembrie 2017 pentru rectificarea bugetului asigurărilor sociale de stat pe anul 2017	,[<b>Ordonanţă de Urgenţă nr.64 din 13 septembrie 2017</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.65 din 21 septembrie 2017 pentru modificarea şi completarea Legii cetăţeniei române nr. 21/1991	,[<b>Ordonanţă de Urgenţă nr.65 din 21 septembrie 2017</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.78 din 8 noiembrie  2017 pentru modificarea şi completarea Legii apelor nr. 107/1996,[<b>Ordonanţă de Urgenţă nr.78 din 8 noiembrie  2017</b>],uitata,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.79 din 8 noiembrie  2017 pentru modificarea şi completarea Legii nr. 227/2015 privind Codul fiscal,[<b>Ordonanţă de Urgenţă nr.79 din 8 noiembrie  2017</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.82 din 8 noiembrie  2017 pentru modificarea şi completarea unor acte normative,[<b>Ordonanţă de Urgenţă nr.82 din 8 noiembrie  2017</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.83 din 15 noiembrie  2017 cu privire la rectificarea bugetului de stat pe anul 2017,[<b>Ordonanţă de Urgenţă nr.83 din 15 noiembrie  2017</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.84 din 15 noiembrie  2017 pentru rectificarea bugetului asigurărilor sociale de stat pe anul 2017	,[<b>Ordonanţă de Urgenţă nr.84 din 15 noiembrie  2017</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.99 din 14 decembrie  2017 pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 158/2005 privind concediile şi indemnizaţiile de asigurări sociale de sănătate	,[<b>Ordonanţă de Urgenţă nr.99 din 14 decembrie  2017</b>],placeholder,placeholder,placeholder
title,date_ordo,status,law,date_law
ORDONANŢĂ DE URGENŢĂ nr.8 din 22 februarie  2018 privind reglementarea unor măsuri în domeniul sănătăţii,[<b>Ordonanţă de Urgenţă nr.8 din 22 februarie  2018</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.10 din 1 martie     2018 pentru modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr. 190/2000 privind regimul metalelor preţioase şi pietrelor preţioase în România,[<b>Ordonanţă de Urgenţă nr.10 din 1 martie     2018</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.23 din 21 martie     2018 privind transmiterea unui imobil din domeniul public al statului şi administrarea Societăţii Române de Televiziune în domeniul public al municipiului Bucureşti,[<b>Ordonanţă de Urgenţă nr.23 din 21 martie     2018</b>],placeholder,placeholder,placeholder
ORDONANŢĂ DE URGENŢĂ nr.32 din 24 aprilie    2018 pentru modificarea Ordonanţei de urgenţă a Guvernului nr. 77/2011 privind stabilirea unor contribuţii pentru finanţarea unor cheltuieli în domeniul sănătăţii,[<b>Ordonanţă de Urgenţă nr.32 din 24 aprilie    2018</b>],placeholder,placeholder,placeholder
"ORDONANŢĂ DE URGENŢĂ nr.38 din 10 mai        2018 privind transmiterea unor imobile aflate în domeniul public al statului din administrarea Ministerului Afacerilor Externe şi din folosinţa exclusivă a Institutului ""Eudoxiu Hurmuzachi"" în administrarea Ministerului Afacerilor Interne pentru Inspectoratul General pentru Imigrări",[<b>Ordonanţă de Urgenţă nr.38 din 10 mai        2018</b>],placeholder,placeholder,placeholder
